Aermacchi,Pods,Pods Porta Cañones 30 mm.  Mb 339 (2),72303,  1/72,9400,Foto,
Aermacchi,Set,Set Tanques puntera alar (2),72304,  1/72,8200,Foto,
Douglas A-4,Tanques,Tanques externos Lanzables 300 Gal. (2 unid.),72400,  1/72,15000,Foto,
Douglas A-4,Tanques,Tanque externo Lanzable 400 Gal. (1 unid.),72415,  1/72,7700,Foto,
Douglas A-4,Guias,Guias base Timones Profundidad,72436,  1/72,3500,Foto,
Douglas A-4,Conversion,1/72 Set conversión A-4AR (P/Fujimi/Hobby2000),72440,  1/72,21000,Foto,
Douglas A-4,Conversion,1/72 Set conversión OA-4AR (P/Fujimi/Hobby2000) ,72441,  1/72,24000,Foto,
Douglas A-4,Conversion,1/72 Set conversión A-4AR (P/Hboss),72443,  1/72,21000,Foto,
Exocet,Misiles,Exocet + Pilón Lanzador,72600,  1/72,6700,Foto,
Matra,Misiles,Matra R-530 + Pilón lanzador,72601,  1/72,6600,Foto,
Matra,Misiles,Matra Magic R-550(2) + Lanzadores inclinados (2),72602,  1/72,11500,Foto,
Ters,Lanzadores,Ters 1/72 (triple Eyector Racks) Porta Bombas (por 2),72700,  1/72,9700,Foto,
Mers,Porta bombas,Mers 1/72(multiple Eyector Racks) Porta Bombas,72701,  1/72,5900,Foto,
Hercules C-130,Lanzador,Sistema Lanzador Bombas C-130 (TC68),72702,  1/72,24000,Foto,
Hercules C-130,Capot,Capot Largo motores (1/72) C-130H,72710,  1/72,17000,Foto,
Hercules C-130,Capot,Capot Largo motores+Conos y Palas (1/72) C-130H,72712,  1/72,29000,Foto,
Hercules C-130,Ruedas,C-130 Set de Ruedas (6),72773,  1/72,9800,Foto,
Tie Down,,Carrier Tie-Down Puntos de amarre cub. Portaviones,72720,  1/72,6700,Foto,
,,,,,,,
